voter,role,country,gender,voter_url
Miguel Marías,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/291
Antonio Mariotti,critic,Switzerland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/788
Steven Markovitz,programmer,South Africa,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/84
Laura Marks,academic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/407
Lee Marshall,critic,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/402
Adrian Martin,critic,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/842
Dominique Martinez,critic,France,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/655
Dmitry Martov,critic,US/Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/656
Arthur Mas,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/782
Jeff Masino,distributor,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/490
Demetrios Matheou,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/666
Kristy Matheson,programmer,Australia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/412
Peter Matthews,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/200
Sophie Mayer,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/92
Paul Mayersberg,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/219
Gonzalo Maza,critic,Chile,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/567
Ewa Mazierska,academic,Poland/UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/622
Joseph McBride,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/459
Todd McCarthy,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/47
Brian McFarlane,critic,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/753
Patrick McGilligan,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/223
Maura McHugh,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/319
Luke McKernan,archivist,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/375
Alexey Medvedev,critic,Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/829
David Meeker,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/678
Martin Melarkey,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/329
Joan Mellen,academic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/482
Annette Melville,archivist,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/794
Thierry Méranger,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/64
Paolo Mereghetti,critic,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/227
Razika Mergenbaeva,programmer,Uzbekistan,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/173
Gary Meyer,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/588
Hind Mezaina,critic,United Arab Emirates,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/543
Daniela Michel,programmer,Mexico,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/695
Henry K Miller,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/544
Fung Ka Ming,critic,Hong Kong,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/594
Luis Miranda,programmer,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/378
Rima Mismar,programmer,Lebanon,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/156
Mehelli Modi,distributor,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/317
Khalid Mohamed,critic,India,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/424
Olaf Möller,critic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/236
Philip Molloy,critic,Ireland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/186
Claire Monk,academic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/712
Luciano Monteagudo,critic,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/381
Lourdes Monterrubio,critic,Spain,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/384
Nashen Moodley,programmer,South Africa/Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/267
Orlando Mora,programmer,Colombia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/234
Frances Morgan,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/603
Nathalie Morris,archivist,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/265
Wesley Morris,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/15
James Mottram,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/517
Michel Mourlet,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/294
Kate Muir,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/438
Lisa Mullen,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/391
Marco Müller,programmer,Italy/Switzerland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/361
Laura Mulvey,academic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/406
Nasreen Munni Kabir,critic,India/UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/266
Charles Musser,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/728
Péter Muszatics,programmer,Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/199
Venkateswaran Narayanan,critic,India,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/29
Jean Narboni,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/495
James Naremore,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/516
Santiago Navajas,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/117
Adam Nayman,critic,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/844
Diane Negra,academic,Ireland,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/662
Boris Nelepo,critic,Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/758
Kim Newman,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/420
Bill Nichols,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/761
Sabine Niewalda,other,Germany,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/128
Irina-Margareta Nistor,critic,Romania,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/527
Martha P Nochimson,critic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/335
Bauyrzhan Nogerbek,critic,Kazakhstan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/770
James Nolen,programmer,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/515
Cristina Nord,critic,Germany,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/705
Abé Mark Nornes,academic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/846
David O Mahony,programmer,Ireland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/677
Michael O'Pray,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/304
Karel Och,programmer,Czech Republic,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/442
Ken'ichi (Ken) Okubo,critic,Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/430
Sevin Okyay,critic,Turkey,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/107
Mikel Olaciregui,programmer,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/285
Michal Oleszczyk,critic,Poland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/297
Dario Oliveira,programmer,Portugal,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/692
Luís Oliveira,programmer,Portugal,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/377
John Oliver,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/477
Jos Oliver,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/467
Mark Olsen,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/343
Michael Omasta,critic,Austria,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/305
Elena Oroz,critic,Spain,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/639
Marcos Ortega,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/360
Andrew Osmond,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/809
Martha Otte,programmer,Norway,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/336
Karen Oughton,academic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/440
Susan Oxtoby,archivist,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/75
Javier Packer-Comyn,programmer,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/498
Camille Paglia,academic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/747
Hynek Pallas,critic,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/537
Marcelo Panozzo,critic,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/363
Volker Pantenburg,academic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/18
Van Papadopoulos,programmer,US/Greece,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/31
Ed Park,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/647
Hannah Patterson,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/551
Alan Pauls,critic,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/836
Jurica Pavicic,critic,Croatia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/447
Milan Pavlovic,critic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/283
Julie Pearce,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/451
Gerald Peary,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/579
Sanjin Pejkovic,academic,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/119
Stojan Pelko,academic,Slovenia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/80
Jaime Pena,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/519
Richard Peña,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/161
Miguel Pendás,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/290
David Pendleton,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/676
Ian Penman,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/533
Olivier Père,programmer,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/235
Julio Pérez Perucha,academic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/449
Domino Renee Perez,academic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/654
Gilberto Pérez,academic,US/Cuba,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/574
Xavier Pérez,academic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/9
V.F. Perkins,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/33
Jacob Perlin,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/521
Vladan Petkovic,critic,Serbia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/20
Alberto Pezzotta,critic,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/834
David Phelps,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/675
Andréa Picard,programmer,Canada,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/816
Sylvie Pierre,critic,France,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/71
Mark Pilkington,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/342
Nick Pinkerton,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/256
Jesús Piquero,programmer,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/487
Martial Pisani,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/334
Francesco Pitassio,academic,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/602
Andrei Plakhov,critic,Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/812
Nenad Polimac,critic,Croatia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/261
Robert Polito,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/148
Simon Popek,programmer,Slovenia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/97
Javier Porta Fouz,critic,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/497
Richard Porton,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/160
Catherine Portuges,academic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/734
John Powers,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/476
Andrew Šprah,academic,Slovenia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/807
Vic Pratt,archivist,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/27
Miroslaw Przylipiak,academic,Poland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/281
Edvinas Puksta,programmer,Lithuania,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/645
Andrew Pulver,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/808
Mirsad Purivatra,programmer,Bosnia and Herzegovina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/280
James Quandt,programmer,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/514
Leonardo Quaresima,academic,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/398
Leonard Quart,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/400
Ángel Quintana Morraja,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/801
Quintín,critic,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/181
Antonia Quirke,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/790
Sadullo Rakhimov,critic,Tajikistan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/127
Naman Ramachandran,critic,UK/India,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/270
Nandini Ramnath,critic,India,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/268
Jed Rapfogel,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/491
Nicolas Rapold,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/250
Tony Rayns,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/40
José Luis Rebordinos,programmer,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/464
Andy Rector,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/802
Carlos Reviriego,critic,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/742
Berenice Reynaud,programmer,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/766
John David Rhodes,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/481
B Ruby Rich,academic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/777
Carrie Rickey,critic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/739
Julie Rigg,critic,Australia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/450
Pierre Rissient,programmer,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/184
Kong Rithdee,critic,Thailand,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/415
Vadim Rizov,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/32
Jon Robertson,distributor,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/473
Tim Robey,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/50
David Robinson,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/674
Leo Robson,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/401
Nick Roddick,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/255
Antonio Rodrigues,programmer,Portugal,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/787
Patrice Rollet,critic,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/225
Nicoletta Romeo,programmer,Italy,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/248
Jonathan Romney,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/471
David Rooney,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/673
Jonathan Rosenbaum,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/470
Federico Rossin,critic,Italy,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/619
Mohammed Rouda,critic,Lebanon,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/277
Ronald Rovers,critic,Netherlands,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/135
Martin Rubin,programmer,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/328
David Rudkin,other,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/672
Patrick Russell,archivist,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/222
Jaan Ruus,critic,Estonia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/522
Paul Ryan,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/218
Mehrnaz Saeedvafa,academic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/315
SF Said,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/106
Dan Sallitt,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/699
Barry Salt,academic,Australia/UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/771
Rasha Salti,programmer,Lebanon/US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/176
Sukhdev Sandhu,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/77
Antonio Santamarina,programmer,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/786
Luc Sante,critic,US/Belgium,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/383
Tadao Sato,critic,Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/70
Peter Scarlet,programmer,US/Abu Dhabi,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/198
Barbara Scharres,programmer,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/774
Ralf Schenk,academic,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/177
Git Scheynius,programmer,Sweden,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/571
Regina Schlagnitweit,programmer,Austria,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/171
Pablo O. Scholz,critic,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/233
Gusztáv Schubert,critic,Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/556
Sheila Schvarzman,academic,Brazil,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/101
Ariel Schweitzer,critic,France / Israel,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/784
Augusto M Seabra,critic,Portugal,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/780
Virginie Sélavy,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/21
Geneviève Sellier,academic,France,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/584
John Semley,critic,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/475
Rada Sesic,critic,The Netherlands/Bosnia and Herzegovina,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/179
Girish Shambu,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/572
Jasper Sharp,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/499
Rebecca Shatwell,programmer,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/172
Steven Shaviro,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/83
Peter Shepotinnik,programmer,Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/197
Keith Shiri,programmer,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/433
Graham Shirley,archivist,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/563
Michael Sicinski,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/303
Nico Simon,programmer,Belgium,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/252
Iain Sinclair,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/536
Jim Sinclair,programmer,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/484
Mark Sinker,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/341
Neil Sinyard,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/263
Ali Smith,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/826
Anna Smith,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/799
Gavin Smith,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/586
Paul Julian Smith,academic,UK/US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/220
Tim J Smith,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/52
Eloísa Solaas,programmer,Argentina,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/636
Jason Solomons,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/501
Fernanda Solórzano,critic,Mexico,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/616
David Sorfa,academic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/671
Mohamed Soueid,critic,Lebanon,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/279
Igor Soukmanov,critic,Belarus,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/530
Richard Sowada,programmer,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/159
Michael Sragow,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/302
Kate Stables,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/437
Janet Staiger,academic,US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/504
Chuck Stephens,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/714
David Sterritt,critic,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/670
Brad Stevens,critic,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/755
Isabel Stevens,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/525
Clare Stewart,programmer,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/710
Heather Stewart,programmer,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/548
Francine Stock,critic,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/601
