selection_manual_fix,weighted_votes
Staroie I Novoe,1
Stray Dogs,1
"Stromboli, Terra Di Dio",1
Stud Life,1
Sud,1
Sun In The Last Days Of The Shogunate,1
Sunset,1
Takhte Siah,1
The Ang Babaeng Humayo,1
The Apu Trilogy,1
The Assassination Of Jesse James By The Coward Robert Ford,1
The Awful Truth,1
The Babadook,1
The Baby Of Mâcon,1
The Bad And The Beautiful,1
The Big Sky,1
The Birds,1
The Blood Of Hussain,1
The Body Beautiful,1
The Bridge On The River Kwai,1
The Bridges Of Madison County,1
The Brood,1
The Changeling,1
The Clock: 2010,1
The Conversation,1
The Criminal,1
The Cut-Ups,1
The Deer Hunter,1
The Dreamed Ones,1
The Dying Swan,1
The Elephant Man,1
The Emperor's Naked Army Marches On,1
The Exorcist,1
The Far Country,1
The Favourite,1
The Gold Rush,1
The Gospel According To St. Matthew,1
The Grapes Of Wrath,1
The Great Buddha+,1
The Great Dictator,1
The Green Ray,1
The Hitch-Hiker,1
The Kid,1
The Lamentations Series: The Ninth Night And Day,1
The Land Of Fathers,1
The Last Laugh,1
The Last Picture Show,1
The Lobster,1
The Long Goodbye,1
The Lord Of The Rings  The Fellowship Of The Ring,1
The Magnificent Ambersons,1
The Man Who Shot Liberty Valance,1
The More The Merrier,1
The Most Dangerous Man In The World,1
The Pajama Game,1
The Patsy,1
The Pirate,1
The Power Of The Dog,1
The Private Life Of Sherlock Holmes,1
The Purple Rose Of Cairo,1
The Quince Tree Sun,1
The Remains Of The Day,1
The Ring,1
The Roaring Twenties,1
The Robber Symphony,1
The Smiling Lieutenant,1
The Sound Of Music,1
The Terminator,1
The Thin Blue Line,1
The Thing,1
The Time That Remains,1
The Tragedy Of Macbeth,1
The Wedding March,1
The Wizard Of Oz,1
Thelma & Louise,1
They Were Expendable,1
Three Years Without God,1
Tih Minh,1
To Kill A Mockingbird,1
"Tom, Tom, The Piper's Son",1
Toomelah,1
Top Of The Lake,1
Topio Stin Omichli,1
Toute La Mémoire Du Monde,1
Trikaal,1
Twenty Years Later,1
Twin Peaks: Fire Walk With Me,1
Tystnaden,1
U.s. Go Home,1
Ukigumo,1
Umarete Wa Mita Keredo,1
Umberto D.,1
Un Chien Andalou,1
Un Tranquillo Posto In Campagna,1
Una Giornata Particolare,1
Unbreakable,1
Unconcealed Poetry (Puisi Tak Terkuburkan),1
Under The Skin: 2013,1
Une Femme Est Une Femme,1
Unforgiven,1
Vagabond,1
Valerie A Tyden Divu,1
Vidheyan,1
Viridiana,1
W.r. - Mysteries Of The Organism,1
Waltz With Bashir,1
Wechma,1
Western,1
When We Were Kings,1
White Heat,1
Wife! Be Like A Rose!,1
Wild River,1
Wings,1
Winter's Bone,1
Wolfwalkers,1
Wu Jian Dao,1
Yangguang Canlan De Rizi,1
Yi Dai Zong Shi,1
Yi Jiang Chunshui Xiang Dong Liu,1
Yıkılmışı Tedarik,1
You Were Never Really Here,1
Young Mr. Lincoln,1
Zanburak,1
Zendegi Va Digar Hich...,1
Zéro De Conduite,1
Zhi Fa Xian Feng,1
Zodiac,1
NA,1
...E Tu Vivrai Nel Terrore! L'aldila,0.5
2046,0.5
24 Frames,0.5
25th Hour,0.5
3 Faces,0.5
A Night Of Knowing Nothing,0.5
All That Jazz,0.5
Angel,0.5
Anna,0.5
Ash Is Purest White,0.5
Badkonak-E Sefid,0.5
Behindert,0.5
Bin-Jip,0.5
Blue,0.5
Bombay,0.5
Buio Omega,0.5
By The Time It Gets Dark,0.5
Cemetery Of Splendour,0.5
Chronicle Of A Summer,0.5
Decasia,0.5
Dema Dirîreskan (Blackberry Season),0.5
Die Klavierspielerin,0.5
Dracula Cerca Sangue Di Vergine E... Morì Di Sete!!!,0.5
Duck Amuck,0.5
Earthlings,0.5
Empire,0.5
Enter The Void,0.5
Gammelion,0.5
Gentlemen Prefer Blondes,0.5
Get Out,0.5
Handsworth Songs,0.5
Hellbound  Hellraiser Ii,0.5
Herbstsonate,0.5
Hightide,0.5
Hit The Road,0.5
"Il Mostro È In Tavola, Barone... Frankenstein  Carne Per Frankenstein",0.5
In Darkness  Einer Wahre Geschichte,0.5
Inland Empire,0.5
Kurak Günler,0.5
L' Amore: Due Storie D'amore,0.5
L' Amour À Mort,0.5
L'enfant Secret,0.5
La Grande Bellezza,0.5
La Gueule Ouverte,0.5
La Maschera Del Demonio,0.5
La Rue Cases-Nègres,0.5
Le Départ,0.5
Le Procès,0.5
Le Vergine Di Norimberga,0.5
Les Amants Du Pont-Neuf,0.5
Letters From Panduranga,0.5
Lilith,0.5
Lola Rennt,0.5
Los Olvidados,0.5
Love Hotel,0.5
Lumière! L'aventure Commence,0.5
Ma'loul Celebrates Its Destruction,0.5
Macunaíma,0.5
Me And My Gal,0.5
Measures Of Distance,0.5
Memories Of Underdevelopment,0.5
Million Dollar Baby,0.5
Monangambee,0.5
Moonfleet,0.5
My Darling Clementine,0.5
My Survival As An Aboriginal,0.5
Nervous Translation,0.5
Netemo Sametemo,0.5
Nihon No Yoru To Kiri,0.5
Nuit Et Jour,0.5
